set_no,name,theme_group,theme,subtheme,year,dimensions,weight,piece_cnt,minifig_cnt,inventory_url,minifig_url,store_price,current_price,rating_value,rating_votes,tags,set_type,packaging,notes
6243-1,Brickbeard's Bounty,Historical,Pirates,,2009,58.2 x 37.8 x 8.7 cm (22.9 x 14.9 x 3.4 in),1.6Kg (3.52 lb),592,8,/inventories/6243-1,/minifigs/inset-6243-1,"£59.99, $99.99","New: $217, Used: $132",4.5,21,"Captain Brickbeard, Ship, Shark, Galleon, Monkey, Parrot",Normal,Box,
6253-1,Shipwreck Hideout,Historical,Pirates,,2009,,,310,6,/inventories/6253-1,/minifigs/inset-6253-1,"£26.45, $39.99","New: $69, Used: $63",4.8,19,"Captain Brickbeard, Snake, Fish, Skeletons, Parrot, Crab, Shipwreck",Normal,Box,
6299-1,Pirates Advent Calendar,Historical,Pirates,Seasonal,2009,,,148,8,/inventories/6299-1,/minifigs/inset-6299-1,£15.79,"New: $52, Used: $35",5.0,5,"Captain Brickbeard, Christmas, Fish, Skeletons, Monkey, Raft, Sawfish",Normal,Box,
6741-1,Mini Jet,Model making,Creator,,2009,10.2 x 14.4 x 4.8 cm (4 x 5.6 x 1.9 in),0.11Kg (0.24 lb),63,0,/inventories/6741-1,,"£4.99, $5.99","New: $9, Used: $3",4.4,8,"Aircraft, Microscale, Space, Multibuild, Speedboat",Normal,Canister,
6742-1,Mini Off-Roader,Model making,Creator,,2009,10.2 x 14.4 x 4.8 cm (4 x 5.6 x 1.9 in),0.11Kg (0.24 lb),64,0,/inventories/6742-1,,"£4.99, $5.99","New: $10, Used: $3",4.3,6,"Microscale, Multibuild, Tractor, Telehandler",Normal,Canister,
6743-1,Street Speeder,Model making,Creator,,2009,26.2 x 14.1 x 6.1 cm (10.3 x 5.6 x 2.4 in),0.28Kg (0.62 lb),165,0,/inventories/6743-1,,"£9.99, $12.99","New: $17, Used: $5",4.1,8,"Car, Multibuild",Normal,Box,Included in 66385-1 
6745-1,Propeller Power,Model making,Creator,,2009,28.2 x 26.2 x 6.4 cm (11.1 x 10.3 x 2.5 in),0.49Kg (1.08 lb),247,0,/inventories/6745-1,,"£18.99, $19.99","New: $30, Used: $8",4.3,6,"Helicopter, Multibuild",Normal,Box,
6747-1,Race Rider,Model making,Creator,,2009,28.2 x 26.2 x 6.4 cm (11.1 x 10.3 x 2.5 in),0.62Kg (1.37 lb),266,0,/inventories/6747-1,,"£15.99, $19.99","New: $31, Used: $11",5.0,2,"Motorcycle, Car, Multibuild, Racing, Dragster",Normal,Box,
6751-1,Fiery Legend,Model making,Creator,,2009,48 x 28.2 x 6.1 cm (18.9 x 11.1 x 2.4 in),0.94Kg (2.07 lb),479,0,/inventories/6751-1,,"£34.99, $39.99","New: $37, Used: $33",5.0,1review,"Dragon, Multibuild",Normal,Box,
6752-1,Fire Rescue,Model making,Creator,,2009,54 x 28.2 x 7.8 cm (21.3 x 11.1 x 3.1 in),1.46Kg (3.22 lb),771,0,/inventories/6752-1,,"£44.99, $59.99","New: $75, Used: $38",4.5,2,"Aircraft, Helicopter, Truck, Fire, Car, Multibuild, 4X4",Normal,Box,
6753-1,Highway Transport,Model making,Creator,,2009,58.2 x 37.8 x 8.7 cm (22.9 x 14.9 x 3.4 in),2.46Kg (5.42 lb),1294,0,/inventories/6753-1,,"£69.99, $89.99","New: $149, Used: $79",4.8,9,"Truck, Car, Multibuild",Normal,Box,
6754-1,Family Home,Model making,Creator,,2009,48 x 37.8 x 7.1 cm (18.9 x 14.9 x 2.8 in),1.9Kg (4.19 lb),976,0,/inventories/6754-1,,"£59.99, $59.99","New: $115, Used: $65",4.9,12,"House, Baseplate, Multibuild, Duck, Fireplace",Normal,Box,
7078-1,King's Battle Chariot,Historical,Castle,Fantasy Era,2009,35.4 x 19.1 x 5.9 cm (13.9 x 7.5 x 2.3 in),0.29Kg (0.64 lb),103,4,/inventories/7078-1,/minifigs/inset-7078-1,"£13.99, $19.99","New: $51, Used: $33",4.3,13,"Horse, Trolls, Carriage, Ashlar",Normal,Box,
7079-1,Drawbridge Defense,Historical,Castle,Fantasy Era,2009,48 x 28.2 x 7.4 cm (18.9 x 11.1 x 2.9 in),0.78Kg (1.72 lb),335,7,/inventories/7079-1,/minifigs/inset-7079-1,"£26.99, $39.99","New: $91, Used: $82",4.7,14,"Castle, Horse, Skeletons, Drawbridge, Ashlar",Normal,Box,
7097-1,Trolls' Mountain Fortress,Historical,Castle,Fantasy Era,2009,58.2 x 37.8 x 10.3 cm (22.9 x 14.9 x 4.1 in),1.91Kg (4.21 lb),844,10,/inventories/7097-1,/minifigs/inset-7097-1,"£74.99, $99.99","New: $181, Used: $144",4.2,9,"Bigfig, Horse, Magic, Catapult, Trolls, Ashlar",Normal,Box,
7195-1,Ambush In Cairo,Licensed,Indiana Jones,Raiders of the Lost Ark,2009,19.1 x 14.1 x 4.6 cm (7.5 x 5.6 x 1.8 in),0.11Kg (0.24 lb),79,4,/inventories/7195-1,/minifigs/inset-7195-1,"£9.99, $10.99","New: $48, Used: $26",4.7,37,"Cairo Swordsman, Cairo Thug, Indiana Jones, Marion Ravenwood, Egypt, Carriage",Normal,Box,
