set_no,name,theme_group,theme,subtheme,year,piece_cnt,minifig_cnt,inventory_url,minifig_url,price_store,price_new,price_used,rating_value,rating_votes,main_tag,set_type,packaging
722-1,"Universal Building Set, 7+",Basic,Basic,,1980.0,301.0,0.0,,,20.0,200.0,78.0,4.4,5.0,,Normal,
733-1,"Universal Building Set, 7+",Basic,Basic,,1980.0,533.0,0.0,,,39.0,566.0,109.0,4.5,2.0,,Normal,
744-1,"Universal Building Set with Motor, 7+",Basic,Basic,,1980.0,537.0,0.0,,,59.0,252.0,97.0,5.0,2.0,,Normal,
820-1,Red Plates Parts Pack,Basic,Basic,Supplementaries,1980.0,34.0,0.0,,,4.75,,,,,,Normal,
822-1,Blue Plates Parts Pack,Basic,Basic,Supplementaries,1980.0,34.0,0.0,,,4.75,29.0,5.0,,,,Normal,
830-1,Red Bricks Parts Pack,Basic,Basic,Supplementaries,1980.0,46.0,0.0,,,4.75,12.0,,,,,Normal,
831-1,Black Bricks Parts Pack,Basic,Basic,Supplementaries,1980.0,46.0,0.0,,,4.75,7.0,,,,,Normal,
832-1,Blue Bricks Parts Pack,Basic,Basic,Supplementaries,1980.0,46.0,0.0,,,4.75,18.0,,,,,Normal,
833-1,White Bricks Parts Pack,Basic,Basic,Supplementaries,1980.0,46.0,0.0,,,4.75,11.0,,,,,Normal,
834-1,Yellow Bricks Parts Pack,Basic,Basic,Supplementaries,1980.0,46.0,0.0,,,4.75,30.0,,,,,Normal,
836-1,Doors and Windows Parts Pack,Basic,Basic,Supplementaries,1980.0,37.0,0.0,,,4.75,14.0,,,,,Normal,
837-1,Wheels and Tyres Parts Pack,Basic,Basic,Supplementaries,1980.0,28.0,0.0,,,4.75,3.0,2.0,,,,Normal,
838-1,"Red Roof Bricks Parts Pack, 45°",Basic,Basic,Supplementaries,1980.0,58.0,0.0,,,4.75,30.0,,4.0,1.0,,Normal,Box
839-1,"Red Roof Bricks Parts Pack, 33°",Basic,Basic,Supplementaries,1980.0,42.0,0.0,,,4.75,12.0,,5.0,1.0,,Normal,Box
840-1,"Baseplate, Green",Basic,Basic,Supplementaries,1980.0,1.0,0.0,,,,15.0,5.0,3.7,3.0,,Normal,
841-1,"Baseplates, Green and Yellow",Basic,Basic,Supplementaries,1980.0,2.0,0.0,,,,,,,,,Normal,
842-1,"Baseplates, Red and Blue",Basic,Basic,Supplementaries,1980.0,2.0,0.0,,,,,,,,,Normal,
843-1,"Baseplate, Grey",Basic,Basic,Supplementaries,1980.0,1.0,0.0,,,,,,5.0,2.0,,Normal,
858-1,Auto Engines,Technical,Technic,,1980.0,242.0,0.0,,,,,51.0,4.5,2.0,,Normal,Box
1041-2,Educational Duplo Building Set,Educational,Dacta,,1980.0,68.0,0.0,,,36.5,,,,,,Normal,
1050-2,Universal set for boys and girls,Educational,Dacta,,1980.0,,0.0,,,,,,,,,Normal,
1062-1,{Town Vehicles},Educational,Dacta,,1980.0,172.0,6.0,,/minifigs/inset-1062-1,,,24.0,,,,Normal,
1075-1,LEGO People Supplementary Set,Educational,Dacta,,1980.0,304.0,0.0,,,14.5,,,,,,Normal,
1076-2,LEGO Car and Truck Supplementary Set,Educational,Dacta,,1980.0,,0.0,,,14.5,,,,,,Normal,
1101-1,Replacement 4.5V Motor,Miscellaneous,Service Packs,,1980.0,1.0,0.0,,,5.65,19.0,,,,,Normal,Polybag
1102-1,Four Motor Wheel Bushes,Miscellaneous,Service Packs,,1980.0,4.0,0.0,,,,1.0,,,,,Normal,Polybag
1103-1,Battery Box,Miscellaneous,Service Packs,,1980.0,1.0,0.0,,,,17.0,8.0,,,,Normal,Polybag
1104-1,Two Connector Leads,Miscellaneous,Service Packs,,1980.0,2.0,0.0,,,,17.0,,,,,Normal,Polybag
1105-1,Two Rubber Crawler Tracks,Miscellaneous,Service Packs,,1980.0,2.0,0.0,,,,1.0,,,,,Normal,Polybag
1106-1,Battery Tender for Trains,Miscellaneous,Service Packs,Trains,1980.0,2.0,0.0,,,,,18.0,,,,Normal,Polybag
1107-1,Two Shunting Trip-Posts and One Signal,Miscellaneous,Service Packs,Trains,1980.0,4.0,0.0,,,,,12.0,,,,Normal,Polybag
1108-1,Two Pairs of Magnetic Couplings,Miscellaneous,Service Packs,Trains,1980.0,4.0,0.0,,,,13.0,,,,,Normal,Polybag
1110-1,Four Locomotive Wheels,Miscellaneous,Service Packs,Trains,1980.0,8.0,0.0,,,,7.0,2.0,,,,Normal,Polybag
1111-1,Eight Rubber Rims for Locomotive Wheels,Miscellaneous,Service Packs,Trains,1980.0,8.0,0.0,,,,21.0,,,,,Normal,Polybag
1113-1,Motor Frame 6 x 16 Stud Plus Four Buffers,Miscellaneous,Service Packs,,1980.0,5.0,0.0,,,,6.0,,,,,Normal,Polybag
1114-1,Motor Frame 6 x 22 Stud,Miscellaneous,Service Packs,,1980.0,1.0,0.0,,,,17.0,17.0,,,,Normal,Polybag
1115-1,"Lighting Brick, 4.5V",Miscellaneous,Service Packs,,1980.0,1.0,0.0,,,,4.0,3.0,,,,Normal,Polybag
1120-1,"Two Tyres, 42 mm Diameter",Miscellaneous,Service Packs,,1980.0,2.0,0.0,,,,5.0,,,,,Normal,Polybag
1122-1,Hinge Units,Miscellaneous,Service Packs,,1980.0,3.0,0.0,,,,5.0,,,,,Normal,Polybag
