set_no,name,price_store,price_new,price_used,rating_value,rating_votes,theme_group,theme,subtheme,main_tag,year,volume,weight,piece_cnt,minifig_cnt
858-1,Auto Engines,,,51.0,4.5,2.0,Technical,Technic,,,1980.0,,,242.0,0.0
1591-1,Danone Delivery Truck,,129.0,28.0,,,Modern day,Town,Special,,1980.0,,,40.0,0.0
1592-1,Town Square - Castle Scene,,1168.0,191.0,4.8,4.0,Modern day,Town,Classic,,1980.0,,,471.0,11.0
1651-2,Maersk Line Container Lorry,,,444.0,5.0,1.0,Modern day,Town,Special,,1980.0,,,305.0,1.0
3602-1,Pram - Lisa Lamb Goes Walking,,,8.0,,,Junior,Fabuland,,,1980.0,,,3.0,1.0
3604-1,Mark Monkey with his Fruit Stall,,18.0,7.0,3.0,1.0,Junior,Fabuland,,,1980.0,,,3.0,1.0
3605-1,Ricky Racoon and his Scooter,,18.0,4.0,,,Junior,Fabuland,,,1980.0,,,1.0,1.0
3634-1,Charlie Crow's Carry-All,,90.0,13.0,3.0,1.0,Junior,Fabuland,,,1980.0,,,17.0,1.0
3665-1,Harry Horse and Clara Cow's Ice Cream Shoppe,,,45.0,4.0,1.0,Junior,Fabuland,,,1980.0,,,36.0,2.0
4306-1,Rings,,,,,,Girls,Scala,Jewellery,,1980.0,,,15.0,0.0
4307-1,Rings,,,,,,Girls,Scala,Jewellery,,1980.0,,,15.0,0.0
4336-1,Picture Frame and Mirror,,,,,,Girls,Scala,Jewellery,,1980.0,,,52.0,0.0
6304-1,"Road Plates, Cross",,22.0,11.0,4.0,1.0,Modern day,Town,Accessories,,1980.0,,,2.0,0.0
6305-1,Trees and Flowers,3.75,28.0,10.0,4.3,4.0,Modern day,Town,Accessories,,1980.0,,,12.0,0.0
6306-1,Road Signs,2.5,49.0,13.0,4.0,3.0,Modern day,Town,Accessories,,1980.0,,,12.0,0.0
6363-1,Auto Repair Shop,,744.0,29.0,4.6,5.0,Modern day,Town,Shops and Services,,1980.0,,,141.0,1.0
6364-1,Paramedic Unit,,272.0,35.0,5.0,5.0,Modern day,Town,Medical,,1980.0,,,137.0,2.0
6375-2,Exxon Gas Station,20.0,,72.0,4.8,5.0,Modern day,Town,Shops and Services,,1980.0,,,267.0,3.0
6390-1,Main Street,40.0,,260.0,4.6,5.0,Modern day,Town,Shops and Services,,1980.0,,,591.0,8.0
6609-1,Race Car,,33.0,3.0,4.3,3.0,Modern day,Town,Racing,,1980.0,,,17.0,1.0
6627-1,Convertible,,88.0,6.0,5.0,7.0,Modern day,Town,Vehicles,,1980.0,,,37.0,1.0
6647-1,Highway Repair,,167.0,6.0,4.0,1.0,Modern day,Town,Maintenance,,1980.0,,,55.0,1.0
6648-2,Dump Truck,,149.0,7.0,4.0,2.0,Modern day,Town,Construction,,1980.0,,,42.0,1.0
6678-1,Pneumatic Crane,,88.0,11.0,5.0,2.0,Modern day,Town,Construction,,1980.0,,,60.0,1.0
6679-2,Exxon Tow Truck,,,18.0,4.5,2.0,Modern day,Town,Vehicles,,1980.0,,,79.0,1.0
6690-1,Snorkel Pumper,,163.0,10.0,4.5,2.0,Modern day,Town,Fire,,1980.0,,,91.0,2.0
6821-1,Shovel Buggy,,219.0,6.0,3.7,3.0,Action/Adventure,Space,Classic,,1980.0,,,28.0,1.0
6841-1,Mineral Detector,,294.0,7.0,4.5,2.0,Action/Adventure,Space,Classic,,1980.0,,,44.0,1.0
6861-1,X1 Patrol Craft,4.0,158.0,37.0,5.0,2.0,Action/Adventure,Space,Classic,,1980.0,,,55.0,1.0
6901-1,Mobile Lab,,8.0,64.0,3.8,5.0,Action/Adventure,Space,Classic,,1980.0,,,135.0,2.0
6970-1,Beta I Command Base,37.0,1117.0,133.0,5.0,9.0,Action/Adventure,Space,Classic,,1980.0,,,264.0,4.0
7710-1,Push-Along Passenger Steam Train,,,107.0,4.2,5.0,Modern day,Trains,4.5/12 V,,1980.0,,,447.0,5.0
7720-1,Diesel Freight Train Set,,,116.0,4.0,3.0,Modern day,Trains,4.5/12 V,,1980.0,,,425.0,3.0
7730-1,Electric Goods Train Set,,,314.0,4.5,2.0,Modern day,Trains,4.5/12 V,,1980.0,,,512.0,2.0
7740-1,Inter-City Passenger Train Set,,1681.0,265.0,5.0,4.0,Modern day,Trains,4.5/12 V,,1980.0,,,786.0,10.0
7750-1,Steam Engine with Tender,,,348.0,4.7,3.0,Modern day,Trains,4.5/12 V,,1980.0,,,263.0,2.0
7760-1,Diesel Shunter Locomotive,,1126.0,209.0,4.7,3.0,Modern day,Trains,4.5/12 V,,1980.0,,,150.0,2.0
