set_no,name,price_store,price_used,aftermarket,popularity,category,year,volume,weight,total_parts,number_parts,number_colors,scolor_1st,scolor_2nd
858-1,Auto Engines,,51.0,,9.0,Technical,1980.0,,,242,46,5,Blue,Gray
1591-1,Danone Delivery Truck,,28.0,,,Modern-Town,1980.0,,,40,19,4,White,Blue
1592-1,Town Square - Castle Scene,,191.0,,19.2,Modern-Town,1980.0,,,495,133,10,Black,Yellow
1651-2,Maersk Line Container Lorry,,444.0,,5.0,Modern-Town,1980.0,,,305,66,9,Blue,Gray
3634-1,Charlie Crow's Carry-All,,13.0,,3.0,Bigfig-Junior,1980.0,,,18,15,7,Yellow,Green
3665-1,Harry Horse and Clara Cow's Ice Cream Shoppe,,45.0,,4.0,Bigfig-Junior,1980.0,,,39,18,5,Yellow,Red
4306-1,Rings,,,,,Bigfig-Girls,1980.0,,,15,14,3,White,Yellow
4336-1,Picture Frame and Mirror,,,,,Bigfig-Girls,1980.0,,,48,10,1,White,White
6304-1,"Road Plates, Cross",,11.0,,4.0,Modern-Town,1980.0,,,2,1,1,Gray,Gray
6305-1,Trees and Flowers,3.75,10.0,6.25,17.2,Modern-Town,1980.0,,,24,6,4,Green,Red
6306-1,Road Signs,2.5,13.0,10.5,12.0,Modern-Town,1980.0,,,12,10,1,White,White
6363-1,Auto Repair Shop,,29.0,,23.0,Modern-Town,1980.0,,,140,59,9,Blue,Black
6364-1,Paramedic Unit,,35.0,,25.0,Modern-Town,1980.0,,,140,64,12,White,Red
6375-2,Exxon Gas Station,20.0,72.0,52.0,24.0,Modern-Town,1980.0,,,272,95,12,White,Red
6390-1,Main Street,40.0,260.0,220.0,23.0,Modern-Town,1980.0,,,614,156,11,Red,White
6609-1,Race Car,,3.0,,12.899999999999999,Modern-Town,1980.0,,,17,13,5,Black,White
6627-1,Convertible,,6.0,,35.0,Modern-Town,1980.0,,,37,25,9,Black,Gray
6647-1,Highway Repair,,6.0,,4.0,Modern-Town,1980.0,,,55,34,10,Blue,Black
6648-2,Dump Truck,,7.0,,8.0,Modern-Town,1980.0,,,42,25,6,Black,Yellow
6678-1,Pneumatic Crane,,11.0,,10.0,Modern-Town,1980.0,,,61,38,7,Black,Yellow
6679-2,Exxon Tow Truck,,18.0,,9.0,Modern-Town,1980.0,,,78,38,8,Black,Blue
6690-1,Snorkel Pumper,,10.0,,9.0,Modern-Town,1980.0,,,104,48,10,Black,Red
6821-1,Shovel Buggy,,6.0,,11.100000000000001,Space,1980.0,,,30,23,4,Gray,Black
6841-1,Mineral Detector,,7.0,,9.0,Space,1980.0,,,44,24,6,Gray,Black
6861-1,X1 Patrol Craft,4.0,37.0,33.0,10.0,Space,1980.0,,,55,30,5,Gray,Red
6901-1,Mobile Lab,,64.0,,19.0,Space,1980.0,,,139,52,7,Gray,Black
6970-1,Beta I Command Base,37.0,133.0,96.0,45.0,Space,1980.0,,,273,105,11,Blue,Gray
7710-1,Push-Along Passenger Steam Train,,107.0,,21.0,Advanced-models,1980.0,,,432,87,10,Black,Gray
7720-1,Diesel Freight Train Set,,116.0,,12.0,Advanced-models,1980.0,,,427,106,10,Black,Red
7730-1,Electric Goods Train Set,,314.0,,9.0,Advanced-models,1980.0,,,519,116,10,Black,Gray
7740-1,Inter-City Passenger Train Set,,265.0,,20.0,Advanced-models,1980.0,,,785,120,12,Black,Gray
7750-1,Steam Engine with Tender,,348.0,,14.100000000000001,Advanced-models,1980.0,,,268,95,11,Black,Red
7760-1,Diesel Shunter Locomotive,,209.0,,14.100000000000001,Advanced-models,1980.0,,,152,55,9,Blue,Black
