set_no,name,price_store,price_new,price_used,rating_value,rating_votes,theme_group,theme,subtheme,year,volume,weight,piece_cnt,minifig_cnt,number_parts,total_parts,number_spare_parts,total_spare_parts,number_colors,1st_color,2nd_color,bars_ladders_and_fences_cnt_prts,baseplates_cnt_prts,belville_scala_and_fabuland_cnt_prts,bionicle_hero_factory_and_constraction_cnt_prts,bricks_cnt_prts,bricks_curved_cnt_prts,bricks_printed_cnt_prts,bricks_round_and_cones_cnt_prts,bricks_sloped_cnt_prts,bricks_special_cnt_prts,bricks_wedged_cnt_prts,clikits_cnt_prts,containers_cnt_prts,duplo_quatro_and_primo_cnt_prts,flags_signs_plastics_and_cloth_cnt_prts,ho_scale_cnt_prts,hinges_arms_and_turntables_cnt_prts,magnets_and_holders_cnt_prts,mechanical_cnt_prts,minifig_accessories_cnt_prts,minifigs_cnt_prts,non-buildable_figures_cnt_prts,non-lego_cnt_prts,other_cnt_prts,panels_cnt_prts,plants_and_animals_cnt_prts,plates_cnt_prts,plates_angled_cnt_prts,plates_round_and_dishes_cnt_prts,plates_special_cnt_prts,pneumatics_cnt_prts,power_functions_mindstorms_and_electric_cnt_prts,rock_cnt_prts,string_bands_and_reels_cnt_prts,supports_girders_and_cranes_cnt_prts,technic_axles_cnt_prts,technic_beams_cnt_prts,technic_beams_special_cnt_prts,technic_bricks_cnt_prts,technic_bushes_cnt_prts,technic_connectors_cnt_prts,technic_gears_cnt_prts,technic_panels_cnt_prts,technic_pins_cnt_prts,technic_special_cnt_prts,technic_steering_suspension_and_engine_cnt_prts,tiles_cnt_prts,tiles_printed_cnt_prts,tiles_special_cnt_prts,tools_cnt_prts,transportation_-_land_cnt_prts,transportation_-_sea_and_air_cnt_prts,tubes_and_hoses_cnt_prts,wheels_and_tyres_cnt_prts,windows_and_doors_cnt_prts,windscreens_and_fuselage_cnt_prts,znap_cnt_prts,bars_ladders_and_fences_tot_prts,baseplates_tot_prts,belville_scala_and_fabuland_tot_prts,bionicle_hero_factory_and_constraction_tot_prts,bricks_tot_prts,bricks_curved_tot_prts,bricks_printed_tot_prts,bricks_round_and_cones_tot_prts,bricks_sloped_tot_prts,bricks_special_tot_prts,bricks_wedged_tot_prts,clikits_tot_prts,containers_tot_prts,duplo_quatro_and_primo_tot_prts,flags_signs_plastics_and_cloth_tot_prts,ho_scale_tot_prts,hinges_arms_and_turntables_tot_prts,magnets_and_holders_tot_prts,mechanical_tot_prts,minifig_accessories_tot_prts,minifigs_tot_prts,non-buildable_figures_tot_prts,non-lego_tot_prts,other_tot_prts,panels_tot_prts,plants_and_animals_tot_prts,plates_tot_prts,plates_angled_tot_prts,plates_round_and_dishes_tot_prts,plates_special_tot_prts,pneumatics_tot_prts,power_functions_mindstorms_and_electric_tot_prts,rock_tot_prts,string_bands_and_reels_tot_prts,supports_girders_and_cranes_tot_prts,technic_axles_tot_prts,technic_beams_tot_prts,technic_beams_special_tot_prts,technic_bricks_tot_prts,technic_bushes_tot_prts,technic_connectors_tot_prts,technic_gears_tot_prts,technic_panels_tot_prts,technic_pins_tot_prts,technic_special_tot_prts,technic_steering_suspension_and_engine_tot_prts,tiles_tot_prts,tiles_printed_tot_prts,tiles_special_tot_prts,tools_tot_prts,transportation_-_land_tot_prts,transportation_-_sea_and_air_tot_prts,tubes_and_hoses_tot_prts,wheels_and_tyres_tot_prts,windows_and_doors_tot_prts,windscreens_and_fuselage_tot_prts,znap_tot_prts
858-1,Auto Engines,,,51.0,4.5,2.0,Technical,Technic,,1980,,,242.0,0,46,242,0,0,5,Blue,Light Gray,0,0,0,0,5,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,0,1,1,0,0,0,1,0,4,0,0,4,1,1,2,0,2,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,31,0,0,1,9,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,76,0,2,6,0,0,0,2,0,19,0,0,14,17,16,9,0,8,0,6,12,0,0,0,0,0,6,2,0,0,0
1591-1,Danone Delivery Truck,,129.0,28.0,,,Modern day,Town,Special,1980,,,40.0,0,19,40,0,0,4,White,Blue,0,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,8,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,2,1,0
1592-1,Town Square - Castle Scene,,1168.0,191.0,4.8,4.0,Modern day,Town,Classic,1980,,,471.0,11,133,495,0,0,10,Black,Yellow,0,2,0,0,27,4,0,2,18,1,0,0,0,0,2,0,4,0,0,6,18,0,0,0,0,7,27,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,2,6,0,0,0,2,0,0,216,9,0,18,57,2,0,0,0,0,2,0,4,0,0,17,36,0,0,0,0,43,53,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,12,14,0,0
1651-2,Maersk Line Container Lorry,,,444.0,5.0,1.0,Modern day,Town,Special,1980,,,305.0,1,66,305,0,0,9,Maersk Blue,Light Gray,0,0,0,0,9,0,0,0,6,0,0,0,0,0,0,0,5,0,0,1,3,0,0,0,0,0,24,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,3,0,0,0,2,0,0,2,3,1,0,0,0,0,0,59,0,0,0,18,0,0,0,0,0,0,0,13,0,0,1,3,0,0,0,0,0,120,0,0,10,0,0,0,0,0,1,0,0,12,0,0,0,0,15,0,0,10,0,0,0,7,0,0,28,7,1,0
3634-1,Charlie Crow's Carry-All,,90.0,13.0,3.0,1.0,Junior,Fabuland,,1980,,,17.0,1,15,18,0,0,7,Yellow,Green,0,0,0,0,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,6,1,0,0,0,0,0,0,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0
3665-1,Harry Horse and Clara Cow's Ice Cream Shoppe,,,45.0,4.0,1.0,Junior,Fabuland,,1980,,,36.0,2,18,39,1,1,5,Yellow,Red,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0
4306-1,Rings,,,,,,Girls,Scala,Jewellery,1980,,,15.0,0,14,15,0,0,3,White,Yellow,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
4336-1,Picture Frame and Mirror,,,,,,Girls,Scala,Jewellery,1980,,,52.0,0,10,48,0,0,1,White,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,24,12,0,0,0,0,0,0,0,0
6304-1,"Road Plates, Cross",,22.0,11.0,4.0,1.0,Modern day,Town,Accessories,1980,,,2.0,0,1,2,0,0,1,Light Gray,Light Gray,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6305-1,Trees and Flowers,3.75,28.0,10.0,4.3,4.0,Modern day,Town,Accessories,1980,,,12.0,0,6,24,0,0,4,Green,Red,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
